1E BCH1A 1E Station
1E BCH2A 1E Station
1E BCH2B 1E Station
1E MONT4 1E Station
1E MONT5 1E Station
1E MONT7 1E Station
1E MONT8 1E Station
1T MTSB  MTSB
1T PMZI  PMZI
2O BTL01 2O Station
2O BTL02 2O Station
2O BTL03 2O Station
2O BTL04 2O Station
2O BTL05 2O Station
2O BTL07 2O Station
2O BTL08 2O Station
4F VALP  4F Station
4F VBB1  4F Station
4F VMCM  4F Station
4F VNLC  4F Station
4F VPCC  4F Station
4F VSAB  4F Station
4O DB02  Diamondback UB0002
4O DB03  Diamondback UB0003
4O DB04  Diamondback UB0004
4O LWM1  Layne Water Midstream 1
4O MBBB1 MBBB1
4O MID02 DiamondBack Midland 02
4O PR01  Schlumberger 1
4O SA02  Saturn HM Philips State 94 Lease
4O SA04  Saturn Double C SWD Lease
4O SA06  Saturn I Take It All C SWD
4O WB01  Salt Mine 1
4T EL01  4T Station
4T EL01  Ellington AFB
4T EL02  Ellington AFB
4T EL03  4T Station
4T EL03  Ellington AFB
4T EL08  Ellington AFB
4T FMR1  4T Station
4T FMR1  JFB Heard 1 Well
4T FMR2  4T Station
4T FMR2  JFB heard 1 Well
4T FMR3  4T Station
4T FMR3  JFB Heard 1 Well
4T FMR4  4T Station
4T FMR4  SAGE4
4T NM01  4T Station
4T NM01  WSW of Eunice,  NM
4T NM02  4T Station
4T NM02  Loving,  NM
4T NM03  4T Station
4T NM03  WNW of Eunice, NM
8C CI18  8C Station
8C CI19  8C Station
8C CI20  8C Station
AC BCI   AC Station
AC KBN   AC Station
AC LSK   AC Station
AC PHP   AC Station
AC PUK   AC Station
AC SRN   AC Station
AC VLO   AC Station
AE 113A  AE Station
AE 214A  AE Station
AE BARN  AE Station
AE DUN6  AE Station
AE HANNA AE Station
AE PRCT  AE Station
AE TONTO AE Station
AE U15A  AE Station
AE W13A  AE Station
AE W18A  AE Station
AE X18A  AE Station
AE Y14A  AE Station
AF ALKP  AF Station
AF GRHM  AF Station
AF POGA  AF Station
AF WIN   AF Station
AG CCAR  AG Station
AG FCAR  AG Station
AG HHAR  AG Station
AG LCAR  AG Station
AG U40A  AG Station
AG WHAR  AG Station
AG WLAR  AG Station
AG X40A  AG Station
AG XA01  AG Station
AG XB02  AG Station
AG Z41A  AG Station
AI BELA  AI Station
AI BELA  Station
AI ESPZ  AI Station
AI ESPZ  Station
AI JUBA  AI Station
AI JUBA  Station
AI MBIO  Station
AI ORCD  AI Station
AI ORCD  Station
AK A21K  AK Station
AK ANM   AK Station
AK ATKA  AK Station
AK B18K  AK Station
AK BAE   AK Station
AK BARN  AK Station
AK BAT   AK Station
AK BESE  AK Station
AK BGLC  AK Station
AK BMR   AK Station
AK BPAW  AK Station
AK BRLK  AK Station
AK CAPN  AK Station
AK CAST  AK Station
AK CCB   AK Station
AK CDVT  AK Station
AK CHN   AK Station
AK CHUM  AK Station
AK CNP   AK Station
AK COLD  AK Station
AK CRQ   AK Station
AK CUT   AK Station
AK CYK   AK Station
AK D17K  AK Station
AK D22K  AK Station
AK DAM2  AK Station
AK DHY   AK Station
AK DIV   AK Station
AK DOT   AK Station
AK E22K  AK Station
AK E24K  AK Station
AK ER01  AK Station
AK ER02  AK Station
AK ER03  AK Station
AK ER04  AK Station
AK EYAK  AK Station
AK F20K  AK Station
AK FA01  AK Station
AK FA05  AK Station
AK FA06  AK Station
AK FA07  AK Station
AK FA09  AK Station
AK FA10  AK Station
AK FA11  AK Station
AK FA12  AK Station
AK FALS  AK Station
AK FIRE  AK Station
