AN BRCR  Berchikul, Kuzbass, Russia
AN DGZ   Jazzator, Altay Republic, Russia
AN KNGR  Kungurtug, Tuva Republic, Russia
AN LUZB  Luzhba, Kuzbass, Russia
AN NVS   Novosibirsk, NSO, Russia
BY IRK   Irkutsk
BY MOY   Mondy
BY ORL   Orlik
BY ZAK   Zakamensk
GE PUL   GEOFON Station Pulkovo, Russia
II ARTI  Arti, Russia
II KIV   Kislovodsk, Russia
II LVZ   Lovozero, Russia
II OBN   Obninsk, Russia
II TLY   Talaya, Russia
IU BILL  Bilibino, Russia
IU MA2   Magadan, Russia
IU PET   Petropavlovsk, Russia
IU TIXI  Tiksi, Russia
IU YAK   Yakutsk, Russia
IU YSS   Yuzhno Sakhalinsk, Russia
RU ALER  Aleksandrovskoe, Krasnodar region, Russia
RU ANN   Anapa, Krasnodar region, Russia
RU DVE   D-Vedeno, Chechen Republic, Russia
RU ERBR  Yeremizino-Borisovskaja, Krasnodar region, Russia
RU GLDR  Gladkovsky, Krasnodar region, Russia
RU GOFR  Gofitskoye, Krasnodar region, Russia
RU GOYR  Goytkh, Krasnodar region, Russia
RU GROC  Groznyy, Chechen Republic, Russia
RU GRYR  Gornoje, Krasnodar region, Russia
RU GUZR  Guzeripl, Krasnodar region, Russia
RU KBTC  Kuba-Taba, Stavropol region, Russia
RU KLMR  Klimovskaya, Arkhangelsk region, Russia
RU KLNR  Kaliningrad, Russia
RU LABN  Labinsk, Krasnodar region, Russia
RU MAK   Makhachkala, Dagestan, Russia
RU MRNR  Marjino, Krasnodar region, Russia
RU NCK   Nalchik, Kabardino-Balkar Republic, Russia
RU NVNR  Nevinnomyssk, Stavropol region, Russia
RU PSTR  Posyet, Russia
RU SHA1  Shidzhatmaz, Stavropol region, Russia
RU SOC   Sochi, Krasnodar region, Russia
RU SPGR  Shapsug, Krasnodar region, Russia
RU SRGR  Sergievskij, Krasnodar region, Russia
RU SUKR  Sukko, Krasnodar region, Russia
RU SVE   Sverdlovsk, Russia
RU TMNR  Tamansky, Krasnodar region, Russia
RU VSLR  Vesyoloye, Krasnodar region, Ruissia
