CA ARBS  La Rabassa
CA AVIN  Avinyo
CA BAIN  Barcelona_Tetuan
CA BAJU  Barcelona - Ciutat Vella
CA BLAN  Blanes
CA CARA  Aran
CA CAVN  Les Avellanes
CA CBEU  Beuda
CA CBRU  Bruguera
CA CBUD  Illa de Buda
CA CCAS  Cassa de la Selva
CA CELO  Sant Celoni
CA CEST  Esterri de Cardos
CA CFAR  Far de la Banya
CA CFON  Fontmartina
CA CGAR  Garraf
CA CGIR  Girona-Universitat
CA CGIS  Girona-Generalitat
CA CGRN  Granollers
CA CLLI  Llivia
CA CMAS  Mas de Barberans
CA CMON  Montserrat
CA CORG  Organya
CA CORI  Orista
CA CPAL  Palau-saverdera
CA CSOR  Soriguera
CA CTRE  Tremp
CA CTRM  Tremp
CA FBR   FABRA, SPAIN
CA ICJA  Barcelona ICTJA-CSIC
CA ILER  Lleida
CA LLIS  Llivia-Poliesportiu
CA MTJR  Montjuic
CA OLOS  Olot
CA POBL  Monestir de Poblet
CA REUS  Reus
CA SCOL  Santa Coloma, Andorra
CA VIER  Vielha-Casau
CA VIES  Vielha-Hospitau
CA VNIG  Vilanova
EB EBR   Ebre
ES ECAL  Calabor (Zamora) IGN,Spain
ES EJON  La Jonquera (Girona) IGN,Spain
ES EMUR  La Murta (Murcia) IGN,Spain
ES EOSO  Teror (Gran Canaria),Spain
ES EXQUE Queralbs (Girona),Spain
ES EXRIP Ripoll (Girona),Spain
ES EXSEU La Seu d'Urgell (Lleida),Spain
ES ZVGAR Santa Pau (Girona),Spain
