AM R65C7 AM Station
S  AI6VX S Station
S  AISJA S Station
S  ASHB  S Station
S  AUCK  S Station
S  BCFL  S Station
S  BNOR  S Station
S  CARU  S Station
S  CBD9  S Station
S  CCID  S Station
S  CCIOW S Station
S  CGDM  S Station
S  CHCA  S Station
S  DAX   S Station
S  DLRBA S Station
S  DXMA  S Station
S  E1TX  S Station
S  ELMI  S Station
S  EVILB S Station
S  GJGH  S Station
S  GONOT S Station
S  GONOU S Station
S  GPMA  S Station
S  GTO1  S Station
S  HETL1 S Station
S  IDLM  S Station
S  INFBB S Station
S  JCMT  S Station
S  JERIS S Station
S  JKAK  S Station
S  JKMA  S Station
S  KCMA  S Station
S  KLNK  S Station
S  KM6QX S Station
S  KNTV  S Station
S  LCIG  S Station
S  MAOK  S Station
S  MBH   S Station
S  MEMSZ S Station
S  MGID  S Station
S  MHIN  S Station
S  MOBS1 S Station
S  NHMC  S Station
S  NMPA  S Station
S  RALNH S Station
S  ROMN  S Station
S  RUFF  S Station
S  SAMA  S Station
S  SBA2  S Station
S  SBMA  S Station
S  SCI2  S Station
S  SLMA  S Station
S  SMOK  S Station
S  TCD1  S Station
S  THSTX S Station
S  TKJI  S Station
S  TLAZ  S Station
S  TOCA  S Station
S  TOGA  S Station
S  TOPH  S Station
S  TXAN  S Station
S  UKWCS S Station
S  UNION S Station
S  UPIL  S Station
S  USA1  S Station
S  UTTH  S Station
S  WBID  S Station
S  WHHS1 S Station
S  WOLL  S Station
S  XTC1  S Station
