BW ALTM  Beilngries, Bavaria, BW-Net
BW BE1   Monatshausen,Bernried, BW-Net
BW BE2   Deixlfurt,Bernried, BW-Net
BW BE3   Hoehenried,Bernried, BW-Net
BW BE4   Bauerbach,Bernried, BW-Net
BW BGDS  Salzbergwerk, Berchtesgaden
BW BGLD  Berchtesgaden, Bavaria, BW-Net
BW BHG   BadReichenhall, Bavaria, BW-Net
BW BIB   Biburg, Scheune
BW DHFO  Deisenhofen,Bavaria, BW-Net
BW FFB1  FUR Borehole
BW FFB2  Romy, Borehole
BW FFB3  Romy, Borehole
BW FURT  Furstenfeldbruck, Bavaria, BW-Net
BW GELB  Gelbenholzen
BW GRMB  Germannsberg
BW HROE  Hohe Roehn, Bavaria, BW-Net
BW KW1   Garching, Kirchweidach, BW-Net
BW KW2   Harl4, Kirchweidach, BW-Net
BW KW3   Brinbaum, Kirchweidach, BW-Net
BW KW4   imWald, Kirchweidach, BW-Net
BW LAEN  Laengenau, Bavaria, BW-Net
BW MANZ  Manzenberg, Bavaria, BW-Net
BW MGBB  Grossbuechelberg, Bavaria, BW-Net
BW MGS01 GutWarnberg,MAGS1, BW-Net
BW MGS02 Perlacher Forst, MAGS2, BW-Net
BW MGS03 WaldPutzbrunn,MAGS2, BW-Net
BW MGS04 Faistenhaar,MAGS2, BW-Net
BW MGS05 WB-Strasslach, MAGS2, BW-Net
BW MGSBH Taufkirchen, BH, MAGS2, BW-Net
BW MHAI  Haid, Bavaria, BW-Net
BW MKON  Konnersreuth, Bavaria, BW-Net
BW MNH   LMU Sektion Geophysik, Theresienstrasse, Muenchen, Bavaria, BW-Net
BW MROB  Rosenbuehl, Bavaria, BW-Net
BW MSBB  Schoenbrunner, Bavaria, BW-Net
BW MZEK  Zeckenberg, Bavaria, BW-Net
BW NORI  Bissingen, Bavaria, BW-Net
BW OBER  Oberstorf, Bavaria, BW-Net
BW OBHA  Oberhaching, Unterhach, BW-Net
BW PART  Partenkirchen, Bavaria, BW-Net
BW PFORL RingLaser, PinonFlat, BW-Net
BW RHAM  Hammer, Bavaria, BW-Net
BW RJOB  Jochberg, Hochstaufen, BW-Net
BW RLAS  RingLaser, Bavaria, BW-Net
BW RMOA  Moar Alm, Bavaria, BW-Net
BW RNHA  Neuhaus, Bavaria, BW-Net
BW RNON  Nonn, Bavaria, BW-Net
BW ROMY  RingLaser, Bavaria, BW-Net
BW ROTZ  Rotzenmuehle, Bavaria, BW-Net
BW RTAK  Arz Kasten, Bavaria, BW-Net
BW RTBE  Buergeleck, Bavaria, BW-Net
BW RTBM  Bartlmahd, Bavaria, BW-Net
BW RTEA  Eckarts Alm, Bavaria, BW-Net
BW RTFA  Falkenstein, Bavaria, BW-Net
BW RTKA  Koch Alm, Bavaria, BW-Net
BW RTLI  List See, Bavaria, BW-Net
BW RTPA  Padinger Alm, Bavaria, BW-Net
BW RTPI  Piding, Bavaria, BW-Net
BW RTSA  Steiner Alm, Bavaria, BW-Net
BW RTSH  Staufenhaus, Bavaria, BW-Net
BW RTSL  See Leiten, Bavaria, BW-Net
BW RTSP  Sieben Palven, Bavaria, BW-Net
BW RTSW  Schneewinkel, Bavaria, BW-Net
BW RTVS  Voderstaufen, Bavaria, BW-Net
BW RTZA  Zwiesel Alm, Bavaria, BW-Net
BW RWMO  Wildenmoos, Bavaria, BW-Net
BW SCE   Schlegeis, Tirolia, BW-Net
BW SYBAD Schyrenbad, BH, SWM, BW-Net
BW TON   Wasserbehaelter Tonwerk
BW UH1   Unterhaching Uni, BW-Net
BW UH2   Riemerling, BW-Net
BW UH3   Taufkirchen, MAGS2, BW-Net
BW UH4   Gruenwald, BW-Net
BW UH5   Oberhaching,GSchule, BW-Net
BW UHE   EuroCopter, Unterhach, BW-Net
BW UHK   Waldbrunn, BW-Net
BW UHL   Laufzorn, BW-Net
BW VIEL  Vielitz, Bavaria, BW-Net
BW WETR  Wettzell, Bavaria, BW-Net
BW ZUGS  Schneeferner, Bavaria, BW-Net
