GE ACRG  GEOFON/GGSA Station Accra, Ghana
GE APE   NOA/GEOFON Station Apeiranthos,Naxos, Greece
GE APEZ  GEOFON Station Moni Apezanon, Greece
GE ARPR  GEOFON/MedNet/KOERI Station Arapgir, Turkey
GE BALJ  Station GEOFON, JSO/DESERVE Station Balqa/Jordan
GE BBJI  GEOFON Station GEOFON Station Bungbulang, Garut, Java
GE BGIO  GII/GEOFON Station Bar Giyyora, Israel
GE BKB   GEOFON Station GEOFON Station Balikpapan, Kalimantan
GE BKNI  GEOFON Station GEOFON Station Bangkinang, Sumatra
GE BNDI  GEOFON Station Bandaneira, Indonesia
GE BOAB  INETER/GEOFON Station INETER, GEOFON Station Boaco/Nicaragua
GE CART  ROA/UCM/GEOFON Station Cartagena, Spain
GE CEU   ROA/UCM/GEOFON Station Ceuta, Spain
GE CISI  GEOFON Station GEOFON Station Cisomped, Java
GE CSS   GEOFON/GII Station Mathiatis, Cyprus
GE DAG   GEOFON/AWI Station Danmarkshavn, Greenland
GE DAMY  GEOFON Station GEOFON Station Dhamar, Yemen
GE DSB   GEOFON Station Dublin, Ireland
GE EIL   GEOFON Station Eilat, Israel
GE FAKI  GEOFON Station GEOFON Station Fak Fak, Irian Jaya
GE FALKS GEOFON Station Falkenstein, Germany
GE FLT1  Temp GEOFON Station Temp GEOFON Station Flechtingen, Germany
GE FODE  GEOFON Station Fodele, Crete
GE GENI  GEOFON Station Genyem, Irian Jaya Indonesia
GE GHAJ  DESERVE Station GEOFON, JSO/DESERVE Station Ghor Haditha/Jordan
GE GHAR  GEOFON/ETHZ Station Gharyan, Libya
GE GSI   GEOFON Station Gunungsitoli, Nias
GE GVD   NOA/GEOFON Station Gavdos, Greece
GE HALK  GEOFON Station Hakmana, Sri Lanka
GE HLG   UKiel/GEOFON Station Helgoland, Germany
GE HMDM  GEOFON Station GEOFON Station Hanimaadhoo, Maldives
GE IBBN  RUB/GEOFON Station Ibbenbueren, Germany
GE ILTH  GEOFON/DIAS Station Belurgan, Co Louth, Ireland
GE IMMV  NOA/GEOFON Station Iera Moni Varipetrou, Greece
GE ISP   GEOFON/MedNet/KOERI Station Isparta, Turkey
GE JAGI  GEOFON Station GEOFON Station Jajag, Java
GE JER   GII Station Jerusalem, Israel
GE KAAM  GEOFON Station GEOFON Station Kaadhehdhoo, Maldives
GE KARN  GEOFON Station Karanos, Crete
GE KARP  NOA/RUB/GEOFON Station Karpathos,Greece
GE KBS   Ny-Alesund, Spitzbergen, Norway
GE KBU   GEOFON Station GEOFON Station Kabul, Afghanistan
GE KERA  RUB Station Keramoti, Crete
GE KIBK  GEOFON Station Kibwezi, Kenya
GE KMBO  Kilima Mbogo, Kenya
GE KRIS  GEOFON Station Kristallenia, Greece
GE KSDI  GII Station Kfar Sold, Israel
GE KTHA  NOA/GEOFON Station Kythira, Greece
GE KWP   GEOFON Station Kalwaria Paclawska, Poland
GE LAST  GEOFON Station Lasithi, Greece
GE LHMI  GEOFON Station GEOFON Station Lhokseumave, Sumatra
GE LID   GRSN/GEOFON Station Liddow, Germany
GE LODK  GEOFON Station Lodwar, Kenya
GE LUWI  GEOFON Station GEOFON Station Lhokseumave, Sulawesi
GE LVC   Limon Verde, Chile
